"county_state","cum.case.num"
"Fayette County_IL",471
"Fayette County_IN",545
"Fayette County_KY",7227
"Fayette County_OH",293
"Fayette County_PA",831
"Fayette County_TN",1301
"Fayette County_TX",495
"Fayette County_WV",657
"Fentress County_TN",666
"Fergus County_MT",76
"Ferry County_WA",30
"Fillmore County_MN",168
"Fillmore County_NE",58
"Finney County_KS",2285
"Fisher County_TX",68
"Flagler County_FL",1793
"Flathead County_MT",1387
"Fleming County_KY",89
"Florence County_SC",5043
"Florence County_WI",113
"Floyd County_GA",3319
"Floyd County_IA",375
"Floyd County_IN",1496
"Floyd County_KY",211
"Floyd County_TX",112
"Floyd County_VA",214
"Fluvanna County_VA",384
"Foard County_TX",18
"Fond du Lac County_WI",2561
"Ford County_IL",111
"Ford County_KS",2986
"Forest County_PA",15
"Forest County_WI",345
"Forrest County_MS",2656
"Forsyth County_GA",4226
"Forsyth County_NC",7363
"Fort Bend County_TX",16603
"Foster County_ND",74
"Fountain County_IN",140
"Franklin city_VA",435
"Franklin County_AL",1850
"Franklin County_AR",327
"Franklin County_FL",647
"Franklin County_GA",778
"Franklin County_IA",353
"Franklin County_ID",157
"Franklin County_IL",580
"Franklin County_IN",329
"Franklin County_KS",431
"Franklin County_KY",719
"Franklin County_MA",460
"Franklin County_ME",63
"Franklin County_MO",1929
"Franklin County_MS",204
"Franklin County_NC",1270
"Franklin County_NE",45
"Franklin County_NY",70
"Franklin County_OH",28131
"Franklin County_PA",1835
"Franklin County_TN",1052
"Franklin County_TX",147
"Franklin County_VA",429
"Franklin County_VT",130
"Franklin County_WA",4401
"Franklin Parish_LA",1228
"Frederick County_MD",4219
"Frederick County_VA",951
"Fredericksburg City_VA",553
"Freeborn County_MN",564
"Freestone County_TX",417
"Fremont County_CO",185
"Fremont County_IA",144
"Fremont County_ID",272
"Fremont County_WY",803
"Fresno County_CA",29065
"Frio County_TX",993
"Frontier County_NE",12
"Fulton County_AR",201
"Fulton County_GA",28198
"Fulton County_IL",214
"Fulton County_IN",265
"Fulton County_KY",173
"Fulton County_NY",348
"Fulton County_OH",359
"Fulton County_PA",52
"Furnas County_NE",49
"Gadsden County_FL",2907
"Gage County_NE",297
"Gaines County_TX",379
"Galax city_VA",421
"Gallatin County_IL",78
"Gallatin County_KY",101
"Gallatin County_MT",1584
"Gallia County_OH",220
"Galveston County_TX",11788
"Garden County_NE",13
"Garfield County_CO",972
"Garfield County_MT",18
"Garfield County_NE",11
"Garfield County_OK",1842
"Garfield County_UT",54
"Garfield County_WA",14
"Garland County_AR",2037
"Garrard County_KY",186
"Garrett County_MD",76
"Garvin County_OK",416
"Garza County_TX",105
"Gasconade County_MO",167
"Gaston County_NC",5588
"Gates County_NC",146
"Geary County_KS",453
"Geauga County_OH",750
"Gem County_ID",347
"Genesee County_MI",4968
"Genesee County_NY",346
"Geneva County_AL",739
"Gentry County_MO",138
"George County_MS",822
"Georgetown County_SC",1923
"Gibson County_IN",625
"Gibson County_TN",1851
"Gila County_AZ",1451
"Gilchrist County_FL",520
"Giles County_TN",725
"Giles County_VA",94
"Gillespie County_TX",336
"Gilliam County_OR",8
"Gilmer County_GA",874
"Gilmer County_WV",49
"Gilpin County_CO",19
"Glacier County_MT",443
"Glades County_FL",549
"Gladwin County_MI",112
"Glascock County_GA",40
"Glasscock County_TX",9
"Glenn County_CA",1160
"Gloucester County_NJ",4796
"Gloucester County_VA",263
"Glynn County_GA",3521
"Gogebic County_MI",179
"Golden Valley County_MT",5
"Golden Valley County_ND",69
"Goliad County_TX",156
"Gonzales County_TX",1071
"Goochland County_VA",285
"Goodhue County_MN",419
"Gooding County_ID",330
"Gordon County_GA",1918
"Goshen County_WY",117
"Gosper County_NE",46
"Gove County_KS",45
"Grady County_GA",808
"Grady County_OK",1217
"Grafton County_NH",155
"Graham County_AZ",895
"Graham County_KS",40
"Graham County_NC",188
"Grainger County_TN",434
"Grand County_CO",96
"Grand County_UT",66
"Grand Forks County_ND",2432
"Grand Isle County_VT",16
"Grand Princess Cruise Ship_CA",21
"Grand Traverse County_MI",532
"Granite County_MT",30
"Grant County_AR",278
"Grant County_IN",1376
"Grant County_KS",300
"Grant County_KY",188
"Grant County_MN",70
"Grant County_ND",40
"Grant County_NE",2
"Grant County_NM",131
"Grant County_OK",55
"Grant County_OR",10
"Grant County_SD",185
"Grant County_WA",3050
"Grant County_WI",1269
"Grant County_WV",163
"Grant Parish_LA",502
"Granville County_NC",1791
"Gratiot County_MI",308
"Graves County_KY",777
"Gray County_KS",133
"Gray County_TX",332
"Grays Harbor County_WA",548
"Grayson County_KY",413
"Grayson County_TX",1964
"Grayson County_VA",325
"Greeley County_KS",16
"Greeley County_NE",35
"Green County_KY",281
"Green County_WI",637
"Green Lake County_WI",427
"Greenbrier County_WV",135
"Greene County_AL",310
"Greene County_AR",960
"Greene County_GA",517
"Greene County_IA",126
"Greene County_IL",239
"Greene County_IN",446
"Greene County_MO",6978
"Greene County_MS",405
"Greene County_NC",702
"Greene County_NY",348
"Greene County_OH",1688
